,Fecha,Producto,Cantidad,Precio_Unitario,Descuento,Total,Vendedor,Ubicación,Forma_Pago,Estado
0,2022-01-01,Tableta,4,114,0.15,4935,Carlos,En linea,Efectivo,Completo
1,2022-01-02,Laptop,3,835,,3144,Juan,Local,nan,Cancelado
2,2022-01-03,Tableta,4,672,0.15,1545,Maria,En linea,Tarjeta,Pendiente
3,2022-01-04,Tableta,7,221,,4056,Maria,En linea,Tarjeta,Cancelado
4,2022-01-05,Laptop,1,376,0.05,3181,Carlos,Local,Efectivo,Pendiente
5,2022-01-06,Laptop,6,657,0.05,3699,Juan,Local,Tarjeta,Pendiente
6,2022-01-07,Tableta,3,552,0.1,1438,Maria,En linea,nan,Completo
7,2022-01-08,Telefono,7,489,,941,Juan,Local,nan,Completo
8,2022-01-09,Tableta,2,393,0.1,3050,Maria,En linea,nan,Pendiente
9,2022-01-10,Tableta,2,673,0.1,4725,Carlos,Local,nan,Cancelado
10,2022-01-11,Tableta,4,697,0.05,1096,Juan,Local,nan,Cancelado
11,2022-01-12,Tableta,1,545,0.15,2005,Carlos,Local,Efectivo,Completo
12,2022-01-13,Laptop,3,309,0.15,1361,Maria,Local,nan,Pendiente
13,2022-01-14,Tableta,9,689,0.1,3140,Carlos,Local,Tarjeta,Completo
14,2022-01-15,Telefono,7,813,0.05,4231,Carlos,En linea,Tarjeta,Pendiente
15,2022-01-16,Laptop,7,401,,2051,Carlos,Local,Tarjeta,Pendiente
16,2022-01-17,Telefono,4,322,0.15,3736,Maria,Local,Tarjeta,Completo
17,2022-01-18,Telefono,2,833,0.1,2236,Juan,En linea,Efectivo,Cancelado
18,2022-01-19,Telefono,4,102,0.15,1949,Carlos,En linea,Tarjeta,Completo
19,2022-01-20,Telefono,6,617,0.15,764,Juan,En linea,Efectivo,Pendiente
20,2022-01-21,Laptop,3,192,,3159,Maria,Local,Tarjeta,Completo
21,2022-01-22,Laptop,1,619,0.05,3221,Juan,Local,Efectivo,Cancelado
22,2022-01-23,Telefono,8,527,,1962,Carlos,En linea,Efectivo,Cancelado
23,2022-01-24,Telefono,5,592,0.05,4752,Carlos,En linea,Efectivo,Pendiente
24,2022-01-25,Laptop,5,334,0.15,1945,Carlos,En linea,Tarjeta,Completo
25,2022-01-26,Laptop,4,719,0.1,2798,Carlos,En linea,Efectivo,Cancelado
26,2022-01-27,Laptop,6,260,,3425,Carlos,Local,nan,Completo
27,2022-01-28,Tableta,3,820,0.05,2132,Carlos,Local,nan,Cancelado
28,2022-01-29,Tableta,9,851,0.15,2874,Maria,Local,Tarjeta,Pendiente
29,2022-01-30,Tableta,5,430,0.05,1012,Maria,Local,nan,Pendiente
30,2022-01-31,Telefono,3,432,0.05,715,Maria,Local,nan,Completo
31,2022-02-01,Tableta,1,149,0.05,3831,Juan,En linea,nan,Pendiente
32,2022-02-02,Telefono,6,622,0.15,2672,Juan,Local,Tarjeta,Cancelado
33,2022-02-03,Telefono,2,962,0.1,3653,Maria,En linea,Tarjeta,Pendiente
34,2022-02-04,Tableta,3,767,0.1,2206,Juan,En linea,nan,Cancelado
35,2022-02-05,Telefono,1,591,0.1,2606,Juan,En linea,Tarjeta,Cancelado
36,2022-02-06,Tableta,9,681,0.05,2067,Carlos,Local,Efectivo,Pendiente
37,2022-02-07,Tableta,8,780,0.15,2708,Carlos,En linea,nan,Cancelado
38,2022-02-08,Laptop,2,371,0.05,2831,Juan,Local,Tarjeta,Cancelado
